dt,bid,ask,last
2025-03-24,5038.00,5038.50,5038.25
2025-03-25,5026.50,5026.50,5026.50
2025-03-26,4935.00,4935.50,4935.25
2025-03-27,4995.50,4995.50,4995.50
2025-03-28,5002.00,5002.00,5002.00
2025-03-31,4961.00,4961.00,4961.00
2025-04-01,4866.50,4866.50,4866.50
2025-04-02,4891.00,4891.00,4891.00
2025-04-03,4896.00,4896.50,4896.25
2025-04-04,4859.50,4860.00,4859.75
2025-04-07,4928.50,4929.00,4928.75
2025-04-08,4923.00,4923.50,4923.25
2025-04-09,4851.50,4851.50,4851.50
2025-04-10,4818.00,4818.00,4818.00
2025-04-11,4939.00,4939.00,4939.00
2025-04-14,4980.00,4980.00,4980.00
2025-04-15,5013.50,5014.00,5013.75
2025-04-16,4957.00,4957.50,4957.25
2025-04-17,4954.00,4954.00,4954.00
2025-04-18,5042.50,5043.00,5042.75
2025-04-21,5070.00,5070.00,5070.00
2025-04-22,5076.50,5076.50,5076.50
2025-04-23,5090.50,5091.00,5090.75
2025-04-24,5137.50,5137.50,5137.50
2025-04-25,5007.00,5007.00,5007.00
2025-04-28,4949.50,4950.00,4949.75
2025-04-29,4904.50,4904.50,4904.50
2025-04-30,4913.50,4914.00,4913.75
2025-05-01,4956.50,4957.00,4956.75
2025-05-02,4967.50,4967.50,4967.50
2025-05-05,5042.50,5042.50,5042.50
2025-05-06,4957.00,4957.50,4957.25
2025-05-07,4968.50,4969.00,4968.75
2025-05-08,4900.00,4900.50,4900.25
2025-05-09,4938.00,4938.00,4938.00
2025-05-12,4935.00,4935.00,4935.00
2025-05-13,4910.50,4910.50,4910.50
2025-05-14,5008.50,5009.00,5008.75
2025-05-15,4911.50,4912.00,4911.75
2025-05-16,4952.50,4953.00,4952.75
2025-05-19,5004.00,5004.50,5004.25
2025-05-20,4964.00,4964.50,4964.25
2025-05-21,4963.50,4963.50,4963.50
2025-05-22,4964.00,4964.00,4964.00
2025-05-23,4968.00,4968.50,4968.25
2025-05-26,5084.00,5084.50,5084.25
2025-05-27,5117.50,5118.00,5117.75
2025-05-28,5165.00,5165.00,5165.00
2025-05-29,5096.00,5096.00,5096.00
2025-05-30,5089.00,5089.50,5089.25
2025-06-02,5122.00,5122.50,5122.25
2025-06-03,5110.00,5110.50,5110.25
2025-06-04,5111.00,5111.00,5111.00
2025-06-05,5128.00,5128.50,5128.25
2025-06-06,5105.00,5105.00,5105.00
2025-06-09,5104.00,5104.00,5104.00
2025-06-10,4987.00,4987.50,4987.25
2025-06-11,5032.50,5032.50,5032.50
2025-06-12,5109.00,5109.50,5109.25
2025-06-13,5108.00,5108.00,5108.00
2025-06-16,5142.50,5142.50,5142.50
2025-06-17,5266.50,5267.00,5266.75
2025-06-18,5324.00,5324.00,5324.00
2025-06-19,5376.50,5376.50,5376.50
2025-06-20,5464.00,5464.00,5464.00
2025-06-23,5318.50,5319.00,5318.75
2025-06-24,5411.00,5411.50,5411.25
2025-06-25,5223.00,5223.50,5223.25
2025-06-26,5250.50,5251.00,5250.75
2025-06-27,5138.00,5138.50,5138.25
2025-06-30,5163.50,5164.00,5163.75
2025-07-01,5135.00,5135.00,5135.00
2025-07-02,5125.50,5126.00,5125.75
2025-07-03,5137.00,5137.00,5137.00
2025-07-04,5117.50,5117.50,5117.50
2025-07-07,5105.00,5105.00,5105.00
2025-07-08,5102.00,5102.00,5102.00
2025-07-09,5100.00,5100.00,5100.00
2025-07-10,5146.50,5147.00,5146.75
2025-07-11,5181.50,5181.50,5181.50
2025-07-14,5097.00,5097.00,5097.00
2025-07-15,5127.00,5127.50,5127.25
2025-07-16,5064.00,5064.00,5064.00
2025-07-17,5015.00,5015.50,5015.25
2025-07-18,4970.50,4970.50,4970.50
2025-07-21,5027.50,5028.00,5027.75
2025-07-22,5014.50,5015.00,5014.75
2025-07-23,5031.00,5031.00,5031.00
2025-07-24,5048.00,5048.50,5048.25
2025-07-25,4934.00,4934.50,4934.25
2025-07-28,4950.50,4951.00,4950.75
2025-07-29,4930.50,4931.00,4930.75
2025-07-30,5034.00,5034.50,5034.25
2025-07-31,4919.50,4919.50,4919.50
2025-08-01,4869.00,4869.00,4869.00
2025-08-04,4860.00,4860.50,4860.25
2025-08-05,4896.00,4896.00,4896.00
2025-08-06,4887.00,4887.00,4887.00
2025-08-07,4829.50,4829.50,4829.50
2025-08-08,4742.50,4742.50,4742.50
2025-08-11,4696.00,4696.00,4696.00
2025-08-12,4685.00,4685.50,4685.25
2025-08-13,4620.50,4621.00,4620.75
2025-08-14,4579.00,4579.00,4579.00
2025-08-15,4529.00,4529.50,4529.25
2025-08-18,4447.00,4447.00,4447.00
2025-08-19,4526.00,4526.50,4526.25
2025-08-20,4581.00,4581.50,4581.25
2025-08-21,4512.50,4513.00,4512.75
2025-08-22,4537.00,4537.50,4537.25
2025-08-25,4522.50,4522.50,4522.50
2025-08-26,4561.50,4561.50,4561.50
2025-08-27,4510.50,4511.00,4510.75
2025-08-28,4632.50,4633.00,4632.75
2025-08-29,4635.00,4635.00,4635.00
2025-09-01,4528.50,4529.00,4528.75
2025-09-02,4567.00,4567.00,4567.00
2025-09-03,4667.00,4667.50,4667.25
2025-09-04,4659.00,4659.50,4659.25
2025-09-05,4700.00,4700.50,4700.25
2025-09-08,4648.00,4648.00,4648.00
2025-09-09,4640.00,4640.50,4640.25
2025-09-10,4684.50,4684.50,4684.50
2025-09-11,4698.00,4698.50,4698.25
2025-09-12,4634.00,4634.50,4634.25
2025-09-15,4659.50,4660.00,4659.75
2025-09-16,4689.50,4690.00,4689.75
2025-09-17,4690.50,4690.50,4690.50
2025-09-18,4707.00,4707.00,4707.00
2025-09-19,4673.00,4673.50,4673.25
2025-09-22,4673.00,4673.50,4673.25
2025-09-23,4661.00,4661.00,4661.00
2025-09-24,4573.50,4573.50,4573.50
2025-09-25,4584.50,4584.50,4584.50
2025-09-26,4653.50,4653.50,4653.50
2025-09-29,4729.00,4729.50,4729.25
2025-09-30,4713.50,4713.50,4713.50
2025-10-01,4683.00,4683.00,4683.00
2025-10-02,4807.50,4807.50,4807.50
2025-10-03,4840.00,4840.00,4840.00
2025-10-06,4804.50,4805.00,4804.75
2025-10-07,4768.00,4768.00,4768.00
2025-10-08,4732.00,4732.50,4732.25
2025-10-09,4745.00,4745.50,4745.25
2025-10-10,4698.00,4698.00,4698.00
2025-10-13,4668.50,4668.50,4668.50
2025-10-14,4685.50,4686.00,4685.75
2025-10-15,4776.50,4777.00,4776.75
2025-10-16,4829.00,4829.00,4829.00
2025-10-17,4876.00,4876.50,4876.25
2025-10-20,4895.50,4895.50,4895.50
2025-10-21,4853.50,4854.00,4853.75
2025-10-22,4875.50,4875.50,4875.50
2025-10-23,4861.00,4861.50,4861.25
2025-10-24,4876.00,4876.50,4876.25
2025-10-27,4921.50,4921.50,4921.50
2025-10-28,4900.00,4900.50,4900.25
2025-10-29,4982.50,4983.00,4982.75
2025-10-30,5048.50,5049.00,5048.75
2025-10-31,5033.50,5033.50,5033.50
2025-11-03,4974.50,4975.00,4974.75
2025-11-04,4992.00,4992.00,4992.00
2025-11-05,5035.50,5035.50,5035.50
2025-11-06,5051.50,5051.50,5051.50
2025-11-07,5049.50,5049.50,5049.50
2025-11-10,5050.50,5051.00,5050.75
2025-11-11,4987.50,4988.00,4987.75
2025-11-12,4931.50,4932.00,4931.75
2025-11-13,4944.50,4944.50,4944.50
2025-11-14,4864.50,4864.50,4864.50
2025-11-17,4864.00,4864.00,4864.00
2025-11-18,4796.00,4796.50,4796.25
2025-11-19,4779.00,4779.50,4779.25
2025-11-20,4753.00,4753.50,4753.25
2025-11-21,4814.00,4814.50,4814.25
2025-11-24,4870.00,4870.50,4870.25
2025-11-25,4911.50,4912.00,4911.75
2025-11-26,4840.00,4840.50,4840.25
2025-11-27,4817.50,4817.50,4817.50
2025-11-28,4836.50,4836.50,4836.50
2025-12-01,4799.50,4800.00,4799.75
2025-12-02,4730.00,4730.50,4730.25
2025-12-03,4762.50,4762.50,4762.50
2025-12-04,4769.00,4769.50,4769.25
2025-12-05,4772.50,4773.00,4772.75
2025-12-08,4774.50,4775.00,4774.75
2025-12-09,4823.00,4823.00,4823.00
2025-12-10,4878.50,4879.00,4878.75
2025-12-11,4825.50,4825.50,4825.50
2025-12-12,4847.50,4848.00,4847.75
2025-12-15,4877.00,4877.50,4877.25
2025-12-16,4975.00,4975.50,4975.25
2025-12-17,5069.00,5069.50,5069.25
2025-12-18,5005.00,5005.00,5005.00
2025-12-19,5027.00,5027.50,5027.25
2025-12-22,5191.00,5191.00,5191.00
2025-12-23,5059.00,5059.00,5059.00
2025-12-24,5098.00,5098.00,5098.00
2025-12-25,5185.00,5185.50,5185.25
2025-12-26,5179.50,5179.50,5179.50
2025-12-29,5139.50,5139.50,5139.50
2025-12-30,5093.00,5093.50,5093.25
2025-12-31,5064.50,5065.00,5064.75
